"country","month","Region","CanSino","Johnson","Moderna","AstraZeneca","Pfizer","Sinopharm","Sinovac","Sputnik.V","Covaxin","Vero_mRNA","Vero_In","Vero_AD"
"Malaysia","2021-10","Asia",0.00341426615350725,0,0,0.0802534406100812,0.503691757535212,0.000110484714401978,0.412530050986797,0,0,0.503691757535212,0.412640535701199,0.0836677067635885
"Mauritius","2021-10","Africa",0,0.137841425867864,0,0.157174376308348,0.121543372030619,0.50372378988598,0.0012553863922392,0.0784616495149501,0,0.121543372030619,0.504979176278219,0.373477451691162
"Mexico","2021-10","North America",0.0629592188796355,0.00601740943525788,0.0279564385021759,0.495517174834293,0.229256145452108,0,0.0891468064482649,0.0891468064482649,0,0.257212583954284,0.0891468064482649,0.653640609597452
"Mongolia","2021-10","Asia",0,0,0,0.0419339396840594,0.249210148396362,0.686133716291687,0,0.0227221956278921,0,0.249210148396362,0.686133716291687,0.0646561353119515
"Morocco","2021-10","Africa",0,0.00497396399600109,0,0.143481755059248,0.0815338625955605,0.77001041834919,0,0,0,0.0815338625955605,0.77001041834919,0.148455719055249
"Mozambique","2021-10","Africa",0,0.181679496326851,0,0.456710557299817,0.144419284335347,0.217190662037985,0,0,0,0.144419284335347,0.217190662037985,0.638390053626668
"Netherlands","2021-10","Europe",0,0.033681033923169,0.0884276858094769,0.114654697318091,0.763236582949264,0,0,0,0,0.851664268758741,0,0.14833573124126
"New Zealand","2021-10","Oceania",0,0,0,0.00753831706800414,0.992461682931996,0,0,0,0,0.992461682931996,0,0.00753831706800414
"Nigeria","2021-10","Africa",0,0.532826364394859,0.118780988350126,0.151792392772835,0.193160712734523,0.00343954174765751,0,0,0,0.311941701084649,0.00343954174765751,0.684618757167694
"North Macedonia","2021-10","Europe",0,0,7.35957608841731e-05,0.0832438451545191,0.568437018027762,0,0.319149616982062,0.0290959240747733,0,0.568510613788646,0.319149616982062,0.112339769229292
"Norway","2021-10","Europe",0,0.00084397388743039,0.195184822767112,0.0184679620924852,0.785503241252973,0,0,0,0,0.980688064020085,0,0.0193119359799156
"Oman","2021-10","Asia",0,0,0,0,0.897330595482546,0,0.102669404517454,0,0,0.897330595482546,0.102669404517454,0
"Pakistan","2021-10","Asia",0.152066486972147,0,0,0,0.0973345312967955,0.0411799940101827,0.633048817011081,0.0763701707097934,0,0.0973345312967955,0.674228811021264,0.228436657681941
"Panama","2021-10","North America",0,0,0,0.0931842309016187,0.906815769098381,0,0,0,0,0.906815769098381,0,0.0931842309016187
"Paraguay","2021-10","South America",0,0,0,0.245608549090473,0.54726977622394,0.0303049411620573,0.04762459203501,0.10716180681985,0.0220303346686689,0.54726977622394,0.0999598678657362,0.352770355910324
"Peru","2021-10","South America",0,0,0,0.0509615573852926,0.529958659493485,0.419079783121222,0,0,0,0.529958659493485,0.419079783121222,0.0509615573852926
"Philippines","2021-10","Asia",0,0.0540302880234068,0.140456713271725,0.164935535499631,0.397696019939533,0.00467035607813727,0.238211087187566,0,0,0.538152733211259,0.242881443265703,0.218965823523038
"Poland","2021-10","Europe",0,0.0564925546289926,0.0828848913980984,0.144097861717121,0.716524692255788,0,0,0,0,0.799409583653886,0,0.200590416346114
"Portugal","2021-10","Europe",0,0.0737194589122767,0.130055410727706,0.146842485165638,0.648806951348461,0.000195907019072713,0.000375040954279772,0,4.74587256663836e-06,0.778862362076167,0.000575693845919123,0.220561944077915
"Qatar","2021-10","Asia",0,0,0.5,0,0.5,0,0,0,0,1,0,0
"Romania","2021-10","Europe",0,0.0927994826887536,0.0683427541814893,0.0753030872640036,0.763554675865754,0,0,0,0,0.831897430047243,0,0.168102569952757
"Russia","2021-10","Europe",0,0,0,0,0,0,0,1,0,0,0,1
"Senegal","2021-10","Africa",0,0.30334132984531,0,0.254888449102117,0.202005455317009,0.238284112980912,0,0.0014806527546508,0,0.202005455317009,0.238284112980912,0.559710431702078
"Serbia","2021-10","Europe",0,0,0.00014479522190649,0.0413257170748984,0.288531340427258,0.577199588978003,0,0.0927985582979344,0,0.288676135649164,0.577199588978003,0.134124275372833
"Singapore","2021-10","Asia",0,0,0.221247232762528,0,0.70953589975374,0,0.0692168674837323,0,0,0.930783132516268,0.0692168674837323,0
"Slovakia","2021-10","Europe",0,0.0199131884552271,0.103400170571729,0.179174771134147,0.689494819979727,0,0,0.0080170498591701,0,0.792894990551456,0,0.207105009448544
"Slovenia","2021-10","Europe",0,0.0641016082006568,0.090857636546425,0.152625317070243,0.692415438182675,0,0,0,0,0.7832730747291,0,0.2167269252709
"South Africa","2021-10","Africa",0,0.244292312001258,0,0,0.755707687998742,0,0,0,0,0.755707687998742,0,0.244292312001258
"South Korea","2021-10","Asia",0,0.0205912430883265,0.135600140836142,0.279690078283802,0.56411853779173,0,0,0,0,0.699718678627872,0,0.300281321372128
"Spain","2021-10","Europe",0,0.0276877312745338,0.126758921795479,0.137281354606203,0.708271992323784,0,0,0,0,0.835030914119263,0,0.164969085880737
"Sri Lanka","2021-10","Asia",0,0,0.0407175825566644,0.074118509917776,0.28335070687303,0.59375945829848,0,0.00805374235405057,0,0.324068289429694,0.59375945829848,0.0821722522718266
"Suriname","2021-10","South America",0,0,0,1,0,0,0,0,0,0,0,1
"Sweden","2021-10","Europe",0,0,0.131620884479574,0.0967267381210512,0.771652377399374,0,0,0,0,0.903273261878948,0,0.0967267381210512
"Switzerland","2021-10","Europe",0,0.000884728511282541,0.654670361340346,0,0.344444910148372,0,0,0,0,0.999115271488718,0,0.000884728511282541
