"month","type","prop"
"2020-07","22F (Omicron)",0
"2020-08","22F (Omicron)",0
"2020-09","22F (Omicron)",0
"2020-10","22F (Omicron)",0
"2020-11","22F (Omicron)",0
"2020-12","22F (Omicron)",0
"2021-01","22F (Omicron)",0
"2021-02","22F (Omicron)",0
"2021-03","22F (Omicron)",0
"2021-04","22F (Omicron)",0
"2021-05","22F (Omicron)",0
"2021-06","22F (Omicron)",0
"2021-07","22F (Omicron)",0
"2021-08","22F (Omicron)",0
"2021-09","22F (Omicron)",0
"2021-10","22F (Omicron)",0
"2021-11","22F (Omicron)",0
"2021-12","22F (Omicron)",0
"2022-01","22F (Omicron)",0
"2022-02","22F (Omicron)",0
"2022-03","22F (Omicron)",0
"2022-04","22F (Omicron)",0
"2022-05","22F (Omicron)",0
"2022-06","22F (Omicron)",0
"2022-07","22F (Omicron)",0
"2022-08","22F (Omicron)",8.78580214373572e-06
"2022-09","22F (Omicron)",0.0010139199175116
"2020-03","Other",0.999517950019028
"2020-04","Other",0.999286791935263
"2020-05","Other",0.996324605626931
"2020-06","Other",0.999505475097139
"2020-07","Other",0.998616311248576
"2020-08","Other",0.995338857650192
"2020-09","Other",0.993015726179463
"2020-10","Other",0.988628717534652
"2020-11","Other",0.974893726652068
"2020-12","Other",0.913755389630876
"2021-01","Other",0.726601028143243
"2021-02","Other",0.516811468288445
"2021-03","Other",0.310295867375268
"2021-04","Other",0.192473684210526
"2021-05","Other",0.175552236459398
"2021-06","Other",0.118209487046247
"2021-07","Other",0.0719053270962787
"2021-08","Other",0.0423735867378789
"2021-09","Other",0.0241044619789121
"2021-10","Other",0.0119762755683978
"2021-11","Other",0.00520115581240275
"2021-12","Other",0.00193728779708408
"2022-01","Other",0.000961215298783357
"2022-02","Other",0.00265723855601042
"2022-03","Other",0.00400835408466543
"2022-04","Other",0.0120969132609071
"2022-05","Other",0.0162798408488064
"2022-06","Other",0.0119879657486693
"2022-07","Other",0.00509438432983176
"2022-08","Other",0.00438411526972412
"2022-09","Other",0.00319642550266368
