entity,iso_code,year,population,source
Tanzania,TZA,2022,65497752,https://population.un.org/wpp/Download/Standard/CSV/
Thailand,THA,2022,71697024,https://population.un.org/wpp/Download/Standard/CSV/
Timor,TLS,2022,1341298,https://population.un.org/wpp/Download/Standard/CSV/
Togo,TGO,2022,8848700,https://population.un.org/wpp/Download/Standard/CSV/
Tokelau,TKL,2022,1893,https://population.un.org/wpp/Download/Standard/CSV/
Tonga,TON,2022,106867,https://population.un.org/wpp/Download/Standard/CSV/
Trinidad and Tobago,TTO,2022,1531043,https://population.un.org/wpp/Download/Standard/CSV/
Tunisia,TUN,2022,12356116,https://population.un.org/wpp/Download/Standard/CSV/
Turkey,TUR,2022,85341248,https://population.un.org/wpp/Download/Standard/CSV/
Turkmenistan,TKM,2022,6430777,https://population.un.org/wpp/Download/Standard/CSV/
Turks and Caicos Islands,TCA,2022,45726,https://population.un.org/wpp/Download/Standard/CSV/
Tuvalu,TUV,2022,11335,https://population.un.org/wpp/Download/Standard/CSV/
Uganda,UGA,2022,47249588,https://population.un.org/wpp/Download/Standard/CSV/
Ukraine,UKR,2022,39701744,https://population.un.org/wpp/Download/Standard/CSV/
United Arab Emirates,ARE,2022,9441138,https://population.un.org/wpp/Download/Standard/CSV/
United Kingdom,GBR,2022,67508936,https://population.un.org/wpp/Download/Standard/CSV/
United States,USA,2022,338289856,https://population.un.org/wpp/Download/Standard/CSV/
United States Virgin Islands,VIR,2022,99479,https://population.un.org/wpp/Download/Standard/CSV/
Upper middle income,OWID_UMC,2022,2525921300,https://population.un.org/wpp/Download/Standard/CSV/
Uruguay,URY,2022,3422796,https://population.un.org/wpp/Download/Standard/CSV/
Uzbekistan,UZB,2022,34627648,https://population.un.org/wpp/Download/Standard/CSV/
Vanuatu,VUT,2022,326744,https://population.un.org/wpp/Download/Standard/CSV/
Vatican,VAT,2022,808,https://population.un.org/wpp/Download/Standard/CSV/
Venezuela,VEN,2022,28301700,https://population.un.org/wpp/Download/Standard/CSV/
Vietnam,VNM,2022,98186856,https://population.un.org/wpp/Download/Standard/CSV/
Wallis and Futuna,WLF,2022,11596,https://population.un.org/wpp/Download/Standard/CSV/
Western Sahara,ESH,2022,576005,https://population.un.org/wpp/Download/Standard/CSV/
World,OWID_WRL,2022,7975105024,https://population.un.org/wpp/Download/Standard/CSV/
World excl. China,OWID_WEC,2022,6549217664,https://population.un.org/wpp/Download/Standard/CSV/
Yemen,YEM,2022,33696612,https://population.un.org/wpp/Download/Standard/CSV/
Zambia,ZMB,2022,20017670,https://population.un.org/wpp/Download/Standard/CSV/
Zimbabwe,ZWE,2022,16320539,https://population.un.org/wpp/Download/Standard/CSV/
Reunion,,2023,873102,https://www.insee.fr/fr/statistiques/1893198
Sint Eustatius,,2022,3242,https://web.archive.org/web/20230206121607/https://longreads.cbs.nl/the-caribbean-netherlands-in-numbers-2022/how-has-the-population-evolved-over-the-past-decade/
Saint Barthelemy,,2023,9976,https://statisticstimes.com/demographics/country/st-barthelemy-population.php
Crimea,,2021,2416856,https://web.archive.org/web/20210204121301/https://rosstat.gov.ru/storage/mediabank/of43wDjn/PrPopul2021_Site.xls
Mayotte,,2023,310022,https://www.insee.fr/fr/statistiques/1893198
French Guiana,,2023,301099,https://www.insee.fr/fr/statistiques/1893198
Canary Islands,,2022,2172944,https://www.ine.es/jaxiT3/Datos.htm?t=2853
